"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15693","Select first payer and referral type, validate filter and clear","chromium","Thu Sep 18 16:30:13 IST 2025","passed","Thu Sep 18 16:30:29 IST 2025","","referral.spec.js","",""
"","4832","Dropdown closes when clicking outside","chromium","Thu Sep 18 16:30:34 IST 2025","passed","Thu Sep 18 16:30:39 IST 2025","Select Referral Type Dropdown Functionality","referral.spec.js","",""
"","6322","Open Referral Date Filter displays calendar options","chromium","Thu Sep 18 16:30:57 IST 2025","passed","Thu Sep 18 16:31:04 IST 2025","","referral.spec.js","",""
"","6066","Apply Today filter: validate only no data found message","chromium","Thu Sep 18 16:31:01 IST 2025","passed","Thu Sep 18 16:31:07 IST 2025","","referral.spec.js","",""
"","6302","Apply Last 7 Days filter: validate selected date range button","chromium","Thu Sep 18 16:31:07 IST 2025","passed","Thu Sep 18 16:31:13 IST 2025","","referral.spec.js","",""
"","5259","Dropdown closes when clicking outside","chromium","Thu Sep 18 16:30:55 IST 2025","passed","Thu Sep 18 16:31:00 IST 2025","Select Payer Dropdown Functionality","referral.spec.js","",""
"","8451","Multiple select payers and validate result","chromium","Thu Sep 18 16:30:46 IST 2025","passed","Thu Sep 18 16:30:55 IST 2025","Select Payer Dropdown Functionality","referral.spec.js","",""
"","8038","Select all payers and validate result","chromium","Thu Sep 18 16:30:48 IST 2025","passed","Thu Sep 18 16:30:57 IST 2025","Select Payer Dropdown Functionality","referral.spec.js","",""
"","8195","Select all referral types and validate result","chromium","Thu Sep 18 16:30:30 IST 2025","passed","Thu Sep 18 16:30:38 IST 2025","Select Referral Type Dropdown Functionality","referral.spec.js","",""
"","10650","Single select referral type and validate result","chromium","Thu Sep 18 16:30:13 IST 2025","passed","Thu Sep 18 16:30:24 IST 2025","Select Referral Type Dropdown Functionality","referral.spec.js","",""
"","7020","Multiple select referral types and validate result","chromium","Thu Sep 18 16:30:25 IST 2025","passed","Thu Sep 18 16:30:32 IST 2025","Select Referral Type Dropdown Functionality","referral.spec.js","",""
"","5160","Apply Last 7 Days filter: at least one referral date in last 7 days","chromium","Thu Sep 18 16:31:05 IST 2025","passed","Thu Sep 18 16:31:10 IST 2025","","referral.spec.js","",""
"","7722","Single select payer and validate result","chromium","Thu Sep 18 16:30:40 IST 2025","passed","Thu Sep 18 16:30:48 IST 2025","Select Payer Dropdown Functionality","referral.spec.js","",""
"","7099","Referral search - valid and invalid","chromium","Thu Sep 18 16:30:39 IST 2025","passed","Thu Sep 18 16:30:46 IST 2025","","referral.spec.js","",""
